state,DEM,REP,usa_state,usa_state_code,percent_democrat,percent_republic
Alabama,843473,1434159,Alabama,AL,37.03289206,0.629671079
Alaska,45758,80999,Alaska,AK,36.09899256,0.639010074
Arizona,1643664,1626679,Arizona,AZ,50.25968224,0.497403178
Arkansas,420985,761251,Arkansas,AR,35.60921846,0.643907815
California,9315259,4812735,California,CA,65.93476045,0.340652396
Colorado,1753416,1335253,Colorado,CO,56.76930743,0.432306926
Connecticut,1059252,699079,Connecticut,CT,60.24189985,0.397581002
Delaware,295413,199857,Delaware,DE,59.64685929,0.403531407
District of Columbia,258561,14449,District of Columbia,DC,94.70751987,0.052924801
Florida,5294767,5667834,Florida,FL,48.29845581,0.517015442
Georgia,2465783,2455431,Georgia,GA,50.1051773,0.498948227
Hawaii,365802,196602,Hawaii,HI,65.04256726,0.349574327
Idaho,286991,554019,Idaho,ID,34.12456451,0.658754355
Illinois,3675573,2669999,Illinois,IL,57.9234307,0.420765693
Indiana,1239529,1727085,Indiana,IN,41.78261816,0.582173818
Iowa,757700,896102,Iowa,IA,45.81564178,0.541843582
Kansas,551199,753370,Kansas,KS,42.25142557,0.577485744
Kentucky,778214,1343148,Kentucky,KY,36.6846394,0.633153606
Louisiana,855630,1255528,Louisiana,LA,40.52894194,0.594710581
Maine,419309,340512,Maine,ME,55.18523442,0.448147656
Maryland,1590324,861861,Maryland,MD,64.85334508,0.351466549
Massachusetts,2254168,1121176,Massachusetts,MA,66.78335601,0.33216644
Michigan,2794853,2646956,Michigan,MI,51.35889554,0.486411045
Minnesota,1717991,1485677,Minnesota,MN,53.62575023,0.463742498
Mississippi,447162,683527,Mississippi,MS,39.54774478,0.604522552
Missouri,1242851,1711848,Missouri,MO,42.06354014,0.579364599
Montana,243714,341763,Montana,MT,41.62657115,0.583734288
Nebraska,367931,550232,Nebraska,NE,40.07251436,0.599274856
Nevada,664162,629879,Nevada,NV,51.32464891,0.486753511
New Hampshire,422284,365248,New Hampshire,NH,53.62118619,0.463788138
New Jersey,2108110,1449928,New Jersey,NJ,59.24922668,0.407507733
New Mexico,498022,400920,New Mexico,NM,55.40090462,0.445990954
New York,3699332,2850352,New York,NY,56.48107603,0.43518924
North Carolina,2658280,2733687,North Carolina,NC,49.30074683,0.506992532
North Dakota,114687,234962,North Dakota,ND,32.80060861,0.671993914
Ohio,2611377,3071959,Ohio,OH,45.94796085,0.540520392
Oklahoma,503890,1020280,Oklahoma,OK,33.0599605,0.669400395
Oregon,1318475,942737,Oregon,OR,58.30833199,0.41691668
Pennsylvania,3361668,3315998,Pennsylvania,PA,50.3419608,0.496580392
Rhode Island,300325,197421,Rhode Island,RI,60.33699919,0.396630008
South Carolina,1092518,1386207,South Carolina,SC,44.0758051,0.559241949
South Dakota,150475,261108,South Dakota,SD,36.560062,0.63439938
Tennessee,1139364,1849791,Tennessee,TN,38.11659148,0.618834085
Texas,5216321,5872348,Texas,TX,47.04190377,0.529580962
Utah,489465,759583,Utah,UT,39.18704485,0.608129551
Vermont,227231,111131,Vermont,VT,67.15618184,0.328438182
Virginia,2392751,1961783,Virginia,VA,54.94849736,0.450515026
Washington,2303430,1514563,Washington,WA,60.33091208,0.396690879
West Virginia,232502,539610,West Virginia,WV,30.11247073,0.698875293
Wisconsin,1630569,1610030,Wisconsin,WI,50.31690129,0.496830987
Wyoming,73445,193454,Wyoming,WY,27.51790003,0.724821